Firm,Period,ICB Sector,ROA,ROE,TA,Total Liabilities,OI_GROWTH,REV_GROWTH,Treated,After
BULL.JK,2018Q2,Industrial Transportation,1.426889216,2.686565546,4.48243E+12,2.26487E+12,68.37791519,59.1668194,1,0
BUVA.JK,2018Q2,Real Estate Investment and Services Development,-0.199696929,-0.380354475,3.70633E+12,2.2346E+12,229.3210006,105.2806117,1,0
BWPT.JK,2018Q2,Food Producers,0.515803514,1.462049585,1.67677E+13,1.06164E+13,503.3451726,17.55138026,0,0
BYAN.JK,2018Q2,"Oil, Gas and Coal",15.57340922,26.99405982,1.49925E+13,7.02241E+12,147.1168448,95.78858836,0,0
CARS.JK,2018Q2,Retailers,1.038777533,5.437475787,9.0796E+12,7.16703E+12,29.58710355,1.343158023,1,0
CASS.JK,2018Q2,Industrial Transportation,4.263749226,5.325184821,1.90703E+12,1.25689E+12,6.503329329,11.48840736,1,0
CEKA.JK,2018Q2,Food Producers,0.391697901,0.605812483,1.32027E+12,4.22712E+11,468.7585019,4.346713122,0,0
CENT.JK,2018Q2,Telecommunications Service Providers,1.954641947,3.186794314,5.08236E+12,1.74095E+12,-127.6690063,21.63844005,0,0
CFIN.JK,2018Q2,Finance and Credit Services,0.644035914,1.723781674,1.09827E+13,6.80745E+12,49.12192296,29.25889527,0,0
CINT.JK,2018Q2,Household Goods and Home Construction,0.489240727,0.545751701,4.72669E+11,1.01609E+11,-19.62100902,-0.817634205,0,0
CITA.JK,2018Q2,Industrial Metals and Mining,5.908916307,14.88142574,2.9321E+12,1.78659E+12,-347.6896581,321.9116937,1,0
CLEO.JK,2018Q2,Beverages,2.164024499,4.768553366,7.30411E+11,4.04708E+11,159.8849695,36.3541865,0,0
CLPI.JK,2018Q2,Chemicals,-0.010321498,-0.014024199,6.216E+11,1.69299E+11,-53.3845671,9.280732343,0,0
CMNP.JK,2018Q2,Industrial Transportation,0.818433444,1.578036425,1.1706E+13,5.83196E+12,18.79811083,45.08213319,1,0
COWL.JK,2018Q2,Real Estate Investment and Services Development,-1.696763748,-4.924304736,3.49306E+12,2.3829E+12,-95.13531226,11.61088516,1,0
CPIN.JK,2018Q2,Food Producers,5.532154076,8.532053578,2.64652E+13,9.0446E+12,64.05059058,6.456153372,0,0
CSAP.JK,2018Q2,Retailers,0.210607902,0.690627637,5.30343E+12,3.77263E+12,-8.407228482,10.21874289,1,0
CTRA.JK,2018Q2,Real Estate Investment and Services Development,0.219828384,0.335169622,3.28813E+13,1.88174E+13,-15.5736371,-6.955808937,1,0
CTTH.JK,2018Q2,Construction and Materials,-0.439719443,-0.956813171,7.05553E+11,3.79506E+11,25.8189799,16.2584984,0,0
DART.JK,2018Q2,Real Estate Investment and Services Development,0.077745398,0.141669311,6.52781E+12,2.90606E+12,-35.72976302,-11.52304211,1,0
DAYA.JK,2018Q2,Retailers,0.244017614,0.515294457,3.56774E+11,2.00101E+11,-219.7074636,132.083177,1,0
DEFI.JK,2018Q2,Investment Banking and Brokerage Services,-0.083684385,-0.084817606,77873749160,1040091990,-95.10846105,-84.26640059,1,0
DEWA.JK,2018Q2,Industrial Metals and Mining,0.200368815,0.353577162,5.57145E+12,2.43091E+12,194.5282423,-15.23609169,1,0
DGIK.JK,2018Q2,Construction and Materials,0.058958125,0.130177586,1.73459E+12,9.64094E+11,3.421012109,-21.20019089,0,0
DILD.JK,2018Q2,Real Estate Investment and Services Development,0.141108961,0.515850645,1.38091E+13,7.69245E+12,165.9664803,16.62623073,1,0
DLTA.JK,2018Q2,Beverages,4.11665089,4.837029425,1.27708E+12,2.10557E+11,12.10467923,13.84162921,0,0
DMAS.JK,2018Q2,Real Estate Investment and Services Development,1.236403717,1.319041375,7.27555E+12,4.92976E+11,-578.5142705,2204.56158,1,0
DNET.JK,2018Q2,Software & Computer Services,1.070925222,1.387534246,1.10795E+13,2.40412E+12,-28.86317505,175.800919,1,0
DOID.JK,2018Q2,"Oil, Gas and Coal",0.743217165,4.04071486,1.53904E+13,1.12995E+13,-39.17431483,21.50831283,0,0
DPNS.JK,2018Q2,Chemicals,0.740097638,1.051472463,3.16669E+11,82089472860,392.2498606,32.3395145,0,0
DPUM.JK,2018Q2,Food Producers,0.966186068,1.450236129,2.07948E+12,7.06129E+11,-72.07765025,-14.08766019,0,0
DSFI.JK,2018Q2,Food Producers,0.413823335,0.976639463,3.80727E+11,2.32259E+11,5.041534051,-14.46148784,0,0
DSNG.JK,2018Q2,Construction and Materials,0.950469736,2.518212994,9.03038E+12,5.1064E+12,-52.01802126,-17.63894007,0,0
DSSA.JK,2018Q2,Electricity,-0.355495434,-1.107218021,4.19256E+13,2.20548E+13,66.08954243,34.61046298,1,0
DUTI.JK,2018Q2,Real Estate Investment and Services Development,1.907908079,2.359828997,1.1333E+13,4.00241E+12,83.28573087,23.59202213,1,0
DVLA.JK,2018Q2,Pharmaceuticals and Biotechnology,2.683157476,3.90738596,1.65769E+12,5.51334E+11,-23.0059381,-2.626972678,0,0
DYAN.JK,2018Q2,Industrial Support Services,1.945763458,4.517354104,1.2992E+12,6.59407E+11,1382.102757,22.23660357,1,0
ECII.JK,2018Q2,Retailers,0.233122341,0.260859113,1.92416E+12,2.01137E+11,-158.7834363,19.19345166,1,0
EKAD.JK,2018Q2,Chemicals,2.236554977,2.641124146,8.26609E+11,1.53912E+11,30.95351424,2.117433089,0,0
ELSA.JK,2018Q2,"Oil, Gas and Coal",1.091000765,1.810298777,5.25851E+12,2.10567E+12,139.6560741,42.98012811,0,0
ELTY.JK,2018Q2,Real Estate Investment and Services Development,-2.127644716,-5.173479238,1.40825E+13,8.15642E+12,-21.05804878,-64.0807984,1,0
EMDE.JK,2018Q2,Real Estate Investment and Services Development,0.295333237,0.73920975,2.05257E+12,1.21174E+12,-13.72627553,28.68722695,1,0
EMTK.JK,2018Q2,Telecommunications Equipment,-0.018703746,-1.122923122,2.22546E+13,8.21551E+12,-19.66857901,-4.068184283,0,0
ENRG.JK,2018Q2,"Oil, Gas and Coal",-2.302385631,-11.09287124,1.06443E+13,8.4831E+12,-54.50328774,-4.298400324,0,0
EPMT.JK,2018Q2,Pharmaceuticals and Biotechnology,2.278857603,3.183183265,7.4057E+12,2.00475E+12,12.14616365,3.599056068,0,0
ERAA.JK,2018Q2,Retailers,2.094497961,5.680202811,1.1928E+13,7.67139E+12,166.8782338,49.60164503,1,0
ERTX.JK,2018Q2,Personal Goods,0.843657975,2.767395979,8.2703E+11,6.3968E+11,15.63908435,11.1377825,1,0
ESSA.JK,2018Q2,"Oil, Gas and Coal",0.079022583,0.513307357,1.25664E+13,9.71835E+12,229.4590005,40.76014064,0,0
ESTI.JK,2018Q2,Industrial Materials,-1.284993801,-5.387231783,8.30834E+11,6.28139E+11,36.15018562,160.0384575,1,0
EXCL.JK,2018Q2,Telecommunications Service Providers,-0.171098097,-0.450029952,5.63777E+13,3.48316E+13,-32.07354034,-2.17189285,0,0
FAST.JK,2018Q2,Travel and Leisure,3.006073958,6.488099921,2.96038E+12,1.5092E+12,59.36763026,16.61275876,1,0
FASW.JK,2018Q2,Industrial Materials,1.118644525,3.169753233,1.01179E+13,6.57589E+12,244.4394635,76.1709244,1,0
