Stocks;Period;ROA;REV;TA;DER;IDX_IC;DiD_Period;DiD_Treatment;Ln_REV;Ln_Assets;ROA_perc;DER_perc
BPII;2019Q2;-0.0200342890;224594854560;2695963049760;1.4626187630;IDXFINANCE;0;1;26.1375639696;28.6227766033;-2.0034289010;146.2618762980
BPII;2020Q2;0.0016164231;206848880290;2423830236840;1.0346681567;IDXFINANCE;1;1;26.0552543167;28.5163701474;0.1616423100;103.4668156720
BPTR;2019Q2;0.0032024064;40201006280;534718173090;1.3738179475;IDXTRANS;0;0;24.4171578641;27.0050056658;0.3202406410;137.3817947460
BPTR;2020Q2;-0.0095324971;39401078620;517981219740;1.1730262766;IDXTRANS;1;0;24.3970590290;26.9732048232;-0.9532497140;117.3026276580
BRAM;2019Q2;0.0007865234;943242417000;4402975749900;0.0770220948;IDXCYCLIC;0;1;27.5725891565;29.1133017351;0.0786523430;7.7022094760
BRAM;2020Q2;-0.0084396386;775013818000;4509634121000;0.0729955549;IDXCYCLIC;1;1;27.3761466958;29.1372371400;-0.8439638625;7.2995554890
BRMS;2019Q2;0.0010490023;24012500000;9782309995000;0.1659846112;IDXBASIC;0;0;23.9018403650;29.9115967679;0.1049002294;16.5984611177
BRMS;2020Q2;0.0037500265;22098962800;10205126777200;0.0904388231;IDXBASIC;1;0;23.8187965122;29.9539113352;0.3750026460;9.0438823118
BRNA;2019Q2;0.0001458190;325783272000;2461326183000;0.8389318226;IDXBASIC;0;0;26.5094981874;28.5317214194;0.0145819040;83.8931822640
BRNA;2020Q2;-0.1096721487;268385917000;2263112918000;0.9843285249;IDXBASIC;1;0;26.3156917705;28.4477623788;-10.9672148680;98.4328524940
BRPT;2019Q2;0.0005662078;8800623625000;98694143500000;2.2532368104;IDXBASIC;0;0;29.8058437014;32.2230467242;0.0566207830;225.3236810432
BRPT;2020Q2;-0.0228754923;7025551900000;101762075180000;2.0958716300;IDXBASIC;1;0;29.5805748903;32.2536586082;-2.2875492290;209.5871629950
BSDE;2019Q2;0.0289711529;1971775711240;53306109945070;0.4708674515;IDXPROPERT;0;0;28.3099556289;31.6070720736;2.8971152912;47.0867451460
BSDE;2020Q2;-0.0021201366;842007480910;60411848311460;0.5948257631;IDXPROPERT;1;0;27.4590547358;31.7322063657;-0.2120136570;59.4825763050
BSIM;2019Q2;0.0016964488;1046533000000;36995880000000;0.6593001328;IDXFINANCE;0;1;27.6765039120;31.2418276710;0.1696448817;65.9300132820
BSIM;2020Q2;-0.0006453214;851327000000;37302453000000;0.7013984088;IDXFINANCE;1;1;27.4700621455;31.2500802045;-0.0645321350;70.1398408831
BTEK;2019Q2;0.0153995499;248034270070;5165236468710;0.9705629422;IDXNONCYC;0;0;26.2368327593;29.2729720004;1.5399549944;97.0562942230
BTEK;2020Q2;-0.0188614638;188334526290;4975248130340;0.9901257936;IDXNONCYC;1;0;25.9614856137;29.2354963607;-1.8861463760;99.0125793610
BTPN;2019Q2;0.0003886756;3239233000000;186691326000000;1.5034675192;IDXFINANCE;0;1;28.8063576893;32.8604777058;0.0388675623;150.3467519159
BTPN;2020Q2;-0.0232106062;2932611000000;185190624000000;1.5301322060;IDXFINANCE;1;1;28.7069142684;32.8524068105;-2.3210606210;153.0132205955
BTPS;2019Q2;0.0098314403;951353000000;13942073000000;0.0041746521;IDXFINANCE;0;1;27.5811510188;30.2659322190;0.9831440340;0.4174652070
BTPS;2020Q2;-0.0031165239;629575000000;15272172000000;0.0243988619;IDXFINANCE;1;1;27.1683108255;30.3570534647;-0.3116523920;2.4398861890
BUDI;2019Q2;0.0031289112;577364000000;3114499000000;1.1766156066;IDXNONCYC;0;0;27.0817387538;28.7670894206;0.3128911241;117.6615606610
BUDI;2020Q2;-0.0243201894;476860000000;2914295000000;0.9670774639;IDXNONCYC;1;0;26.8904887837;28.7006490540;-2.4320189353;96.7077463910
BUKK;2019Q2;0.0013437695;1246780579000;4631503605000;0.3534601839;IDXINFRA;0;1;27.8515858080;29.1639026840;0.1343769465;35.3460183880
BUKK;2020Q2;0.0239878709;1022989871000;4807822517000;0.3683033425;IDXINFRA;1;1;27.6537507016;29.2012653984;2.3987870930;36.8303342450
BUVA;2019Q2;0.0004633056;134199272710;4106726921090;0.7599616580;IDXCYCLIC;0;1;25.6225916420;29.0436474576;0.0463305570;75.9961658010
BUVA;2020Q2;0.0053386593;162262003690;4190493064380;0.7576307526;IDXCYCLIC;1;1;25.8124781725;29.0638395194;0.5338659336;75.7630752590
BWPT;2019Q2;-0.0006363842;637996000000;16204070000000;1.5824165320;IDXNONCYC;0;0;27.1815978507;30.4162835612;-0.0636384170;158.2416531980
BWPT;2020Q2;-0.0322914551;738429000000;15743589000000;2.0709580027;IDXNONCYC;1;0;27.3277907935;30.3874543507;-3.2291455140;207.0958002650
BYAN;2019Q2;0.0004123124;6965887825000;19647693635000;0.3821754310;IDXENERGY;0;1;29.5720461845;30.6089810751;0.0412312380;38.2175430990
