Firm,Period,ICB Sector,ROA,ROE,TA,Total Liabilities,OI_GROWTH,REV_GROWTH_YoY_in_percent,Treated,After_YoY
INCO.JK,2020Q2,Precious Metals and Mining,1.089965074,1,31724247540000,3437714120000,-360.0854073,12.43450793,1,1
INDF.JK,2020Q2,Food Producers,1.61041198,4,103395472000000,62871869000000,33.21967771,3.294043014,0,1
INDR.JK,2020Q2,Personal Goods,-0.421193086,-1,10683369823400,5401121445200,-214.4229246,-47.15160305,1,1
INDS.JK,2020Q2,Automobiles and Parts,-0.583110652,-1,2843332367080,290707625150,84.68217248,-36.84748109,1,1
INDY.JK,2020Q2,"Oil, Gas and Coal",0.058023228,0,47766854491800,36692914718800,-75.01587713,-28.01261957,0,1
INKP.JK,2020Q2,Industrial Materials,0.286970872,1,117848647080000,68549112100000,27.67786708,-11.55023416,1,1
INPP.JK,2020Q2,Real Estate Investment and Services Development,1.594145782,2,8231392795090,2215762384720,-37.46390496,-62.67803683,1,1
INPS.JK,2020Q2,Industrial Transportation,-0.978499542,-3,469972828030,335954538140,-38.91282785,-45.41643415,1,1
INRU.JK,2020Q2,Industrial Materials,-0.443220272,-1,7695865700000,5275772100000,-433.2035935,161.9423508,1,1
INTD.JK,2020Q2,Leisure Goods,-4.635202695,-6,49830173930,9932594280,-817.8983405,-69.13262249,1,1
INTP.JK,2020Q2,Construction and Materials,0.255782002,0,27037394000000,3499253000000,-104.40588,-13.45811227,0,1
IPCC.JK,2020Q2,Industrial Transportation,-1.0631497,-2,1925191829000,852157852000,-170.3802938,-53.49448315,1,1
IPCM.JK,2020Q2,Industrial Transportation,2.419748653,3,1394498739000,199892353000,-559.097663,19.52011862,1,1
IPOL.JK,2020Q2,General Industrials,0.527896332,1,3862762597800,1908544832000,-3.087283663,-0.614833568,1,1
ISAT.JK,2020Q2,Telecommunications Service Providers,0.451643542,2,61079475000000,48678596000000,59.34914447,10.94028932,0,1
ISSP.JK,2020Q2,Industrial Metals and Mining,1.227190978,3,6306189000000,3357295000000,-134.1046469,-42.08503227,1,1
ITMA.JK,2020Q2,"Oil, Gas and Coal",2.267968908,2,2145667970000,4401632500,-40.26990275,0.389380531,0,1
ITMG.JK,2020Q2,"Oil, Gas and Coal",1.141406246,2,17422498060000,5092222340000,-61.98080023,-34.53328102,0,1
JAWA.JK,2020Q2,Food Producers,-2.707279928,-34,3514312656610,3280994003320,463.6390031,-67.68499685,0,1
JECC.JK,2020Q2,Technology Hardware & Equipment,-0.297809216,-1,1512051050000,885995832000,-10.4464401,-62.88150724,0,1
JGLE.JK,2020Q2,Travel and Leisure,-0.863276549,-1,3383255678940,1251235917270,-614.1937149,-34.64825299,1,1
JIHD.JK,2020Q2,Real Estate Investment and Services Development,-1.180037795,-1,6827022074000,3246788402000,-847.6241786,-49.59448023,1,1
JKON.JK,2020Q2,Construction and Materials,-0.596569561,-1,4742000579000,2333004830000,329.4274137,-36.05975797,0,1
JPFA.JK,2020Q2,Food Producers,-0.668851728,-2,27796365000000,17142864000000,-95.01317841,-19.08727563,0,1
JRPT.JK,2020Q2,Real Estate Investment and Services Development,1.713650313,3,11664690691000,4636546404000,-16.80331444,-8.439973538,1,1
