Firm,Period,code,ICB Sector,ROA,ROE,TA,Total Liabilities,OI_GROWTH,REV_GROWTH,current_rat,quick_rat,Treated,After
ESSA.JK,2020Q2,ESSA.JK2020Q2,"Oil, Gas and Coal",-1.475568127,-4,1.21473E+13,1.16671E+13,-18.15114819,-43.94863763,1.94,1.73,0,1
ESTI.JK,2020Q2,ESTI.JK2020Q2,Industrial Materials,0.464290809,2,8.17667E+11,6.26094E+11,13.38304433,-22.33866127,1.13,0.13,1,1
EXCL.JK,2020Q2,EXCL.JK2020Q2,Telecommunications Service Providers,0.31708657,1,6.96549E+13,4.91358E+13,17.055004,4.696701939,0.36,0.36,0,1
FAST.JK,2020Q2,FAST.JK2020Q2,Travel and Leisure,-4.408888187,-10,3.60316E+12,1.9368E+12,-88.15309401,-45.84806213,1.27,1.03,1,1
FASW.JK,2020Q2,FASW.JK2020Q2,Industrial Materials,4.764128244,13,1.10912E+13,6.64078E+12,-47.15133476,-9.60287915,0.8,0.44,1,1
FIRE.JK,2020Q2,FIRE.JK2020Q2,Retailers,1.270275492,2,5.31145E+11,2.47108E+11,104.6227136,-11.63812537,2.29,1.38,1,1
FISH.JK,2020Q2,FISH.JK2020Q2,Food Producers,2.156971177,9,6.27272E+12,4.43929E+12,160.6251812,17.84581337,1.24,0.53,0,1
FMII.JK,2020Q2,FMII.JK2020Q2,Personal Goods,-0.610947953,-1,8.79063E+11,2.51697E+11,-43.30472502,-84.77070524,3.24,0.69,1,1
FORU.JK,2020Q2,FORU.JK2020Q2,Media,-6.048710686,-8,79603952510,22705591510,-35.7678193,-55.06726487,3.28,3.11,1,1
FPNI.JK,2020Q2,FPNI.JK2020Q2,General Industrials,7.049092819,13,2.51906E+12,1.31233E+12,3379.235903,-7.694220564,1.38,0.7,1,1
FREN.JK,2020Q2,FREN.JK2020Q2,Telecommunications Service Providers,1.635931728,5,3.47694E+13,2.21307E+13,-39.48058031,42.394757,0.2,0.19,0,1
GAMA.JK,2020Q2,GAMA.JK2020Q2,Real Estate Investment and Services Development,-0.267454237,0,1.39917E+12,2.95412E+11,-223.5244766,-63.44880303,3.12,0.33,1,1
GDST.JK,2020Q2,GDST.JK2020Q2,Industrial Metals and Mining,1.844571346,4,1.68635E+12,1.17523E+12,-989.0683194,-31.92237401,0.71,0.17,1,1
GDYR.JK,2020Q2,GDYR.JK2020Q2,Automobiles and Parts,-6.491151606,-16,1.66827E+12,9.92002E+11,1160.83612,-59.68371994,0.52,0.24,1,1
GEMA.JK,2020Q2,GEMA.JK2020Q2,Household Goods and Home Construction,-0.289366091,0,8.62688E+11,5.33251E+11,-34.99055165,-22.86050794,1.25,0.78,0,1
GEMS.JK,2020Q2,GEMS.JK2020Q2,"Oil, Gas and Coal",2.6342845,5,1.127E+13,6.40897E+12,66.964095,15.23072062,1.6,1.53,0,1
GGRM.JK,2020Q2,GGRM.JK2020Q2,Tobacco,1.761928732,3,7.91589E+13,2.44074E+13,-28.90879624,-0.582271989,2.36,0.55,1,1
GIAA.JK,2020Q2,GIAA.JK2020Q2,Travel and Leisure,-2.623358914,-15,6.18448E+13,5.39227E+13,-20.04261583,-10.25254183,0.16,0.12,1,1
